行政區別,村里別,唐新民,張家豪,施奉先,王文娟,童文薰,蔣萬安,蘇煥智,謝立康,鄭匡宇,陳時中,黃珊珊,黃聖峰
大安區,仁愛里,0,2,4,0,2,2310,0,0,2,1612,868,0
大安區,仁慈里,0,6,4,0,6,2218,2,0,4,1876,1272,0
大安區,住安里,2,12,0,0,14,2362,2,0,2,1416,1098,0
大安區,光信里,4,8,2,2,6,3626,8,0,0,2394,1770,0
大安區,光明里,0,8,0,2,6,1652,6,0,2,1102,1118,0
大安區,光武里,0,6,0,2,12,3344,18,0,2,2388,1522,2
大安區,全安里,4,8,0,0,4,2296,2,0,0,1228,1020,0
大安區,古莊里,0,14,2,2,32,3334,18,0,2,2354,1990,6
大安區,古風里,0,8,0,0,2,2020,12,0,6,1446,1048,0
大安區,和安里,4,12,0,2,2,3204,4,0,2,1968,1716,2
大安區,大學里,4,12,2,4,18,3972,16,4,2,2824,2116,0
大安區,學府里,0,8,0,0,2,1338,8,0,0,696,506,0
大安區,建倫里,2,4,0,2,2,2842,8,2,0,1834,974,2
大安區,建安里,0,8,2,2,8,2256,6,2,0,1490,958,0
大安區,德安里,2,12,0,0,10,2746,2,0,0,1618,1102,0
大安區,敦安里,0,18,2,0,14,2678,4,0,0,1976,1346,2
大安區,敦煌里,0,10,2,0,4,2666,6,0,2,1900,1348,0
大安區,新龍里,2,6,0,0,6,3862,14,0,2,1538,1924,0
大安區,昌隆里,0,0,0,0,8,1382,0,0,2,1248,582,0
大安區,正聲里,2,6,0,0,8,2184,10,0,0,1382,1060,0
大安區,民炤里,2,22,2,0,6,3450,8,0,2,2810,1838,0
大安區,民輝里,2,6,0,2,28,2980,20,0,2,2296,1572,0
大安區,永康里,0,10,0,0,2,1746,4,0,0,1074,976,0
大安區,法治里,4,10,2,2,6,2466,8,2,2,1216,1236,0
大安區,福住里,0,10,0,0,8,2514,10,0,0,1886,1558,0
大安區,群英里,2,16,0,0,24,4614,10,0,0,1344,1728,4
大安區,群賢里,4,12,2,0,8,3014,10,0,2,1598,1352,0
大安區,義安里,4,8,0,0,8,2700,6,0,2,1542,1156,0
大安區,義村里,2,6,2,0,12,3278,4,0,0,1390,1206,2
大安區,臥龍里,0,4,0,0,8,1038,4,0,0,550,538,0
大安區,臨江里,2,2,0,2,8,1994,10,0,0,1382,982,4
大安區,芳和里,2,8,2,4,14,2902,12,2,0,1758,1396,2
大安區,華聲里,2,2,0,4,6,1832,4,0,0,1252,1004,0
大安區,虎嘯里,0,0,0,0,2,1822,8,0,0,1208,866,0
大安區,誠安里,0,8,0,0,6,1838,2,0,0,1442,806,2
大安區,車層里,2,14,0,0,10,2818,6,0,0,2156,1246,4
大安區,通化里,4,12,2,6,10,2714,6,0,4,2258,1524,0
大安區,通安里,0,12,0,2,12,2730,6,0,2,1860,1248,2
大安區,錦安里,2,12,2,0,6,2568,12,0,0,1854,1584,0
大安區,錦泰里,2,8,0,0,10,1764,12,0,0,1110,1026,2
大安區,錦華里,0,4,0,0,10,2638,14,2,2,1694,1582,2
大安區,黎元里,2,18,4,2,10,2648,12,0,0,1804,1568,2
大安區,黎和里,0,16,2,0,12,2514,6,0,0,1320,1322,2
大安區,黎孝里,4,6,2,0,16,3862,12,2,0,2446,2108,2
大安區,龍圖里,0,6,0,0,18,3372,14,0,2,1996,1640,0
大安區,龍坡里,0,24,0,2,16,2550,18,0,0,1804,1336,4
大安區,龍安里,2,4,0,0,20,2692,10,2,0,2112,1604,2
大安區,龍泉里,4,4,0,0,6,2034,20,0,2,1574,1290,0
大安區,龍淵里,6,22,0,0,18,4016,12,0,0,2794,2352,4
大安區,龍生里,0,14,0,2,10,3252,10,0,0,1926,1782,4
大安區,龍門里,0,8,0,2,0,1848,6,0,0,1476,1022,0
大安區,龍陣里,0,6,0,6,4,1764,2,0,0,1216,782,0
大安區,龍雲里,0,24,0,6,6,2268,12,0,0,1546,1038,4
文山區,博嘉里,0,12,0,0,10,2980,14,2,4,1768,1462,2
文山區,忠順里,0,6,0,0,12,2574,10,0,0,1046,1148,0
文山區,指南里,0,16,0,2,10,1820,14,2,6,1360,1218,0
文山區,政大里,0,10,2,2,6,3680,10,0,4,2126,2210,4
文山區,明義里,0,20,0,0,12,2062,10,0,4,960,1004,4
文山區,明興里,2,22,2,4,22,3566,12,2,0,1824,1962,0
文山區,景仁里,6,10,0,0,8,3040,14,0,2,1584,1582,0
文山區,景慶里,2,14,2,4,4,3206,18,2,0,1856,1862,2
文山區,景東里,4,24,2,0,12,3724,8,0,6,1766,1818,4
文山區,景美里,0,16,0,2,10,2500,14,2,2,1620,1274,0
文山區,景華里,2,6,2,0,2,2922,4,0,0,1620,1478,4
文山區,景行里,2,26,6,0,6,3314,12,0,0,2490,2198,0
文山區,木新里,4,32,0,0,12,4298,6,2,4,2852,2390,0
文山區,木柵里,6,34,4,4,6,5482,28,0,2,2222,2612,4
文山區,樟文里,2,10,0,0,10,3196,6,2,4,1938,1508,2
文山區,樟新里,4,18,4,4,16,3002,6,2,4,1440,1616,0
文山區,樟林里,4,14,6,2,26,4554,18,0,2,2146,2080,0
文山區,樟樹里,2,8,2,2,4,2396,14,0,2,1438,1220,0
文山區,樟腳里,10,14,0,0,10,2828,4,0,0,1626,1540,0
文山區,老泉里,0,6,0,2,6,338,0,0,0,484,258,0
文山區,興光里,0,12,0,0,8,2030,8,2,4,976,1060,0
文山區,興安里,0,30,0,2,6,4010,6,0,0,1800,1766,0
文山區,興家里,4,12,2,4,18,4194,12,4,4,1866,2042,0
文山區,興得里,2,20,2,0,8,3338,8,2,0,1598,1656,0
文山區,興旺里,2,22,4,0,18,4752,12,0,2,1958,2504,2
文山區,興昌里,2,8,4,2,14,3488,4,0,2,1754,1690,0
